Samples,Day,Controller,Box,duration_d,Abs_Cpy_g_Wet
E01,0,Adrian's Farm-House 2,1,0,10440222.06
E02,0,Adrian's Farm-House 2,2,0,9770386.177
E03,0,Adrian's Farm-House 2,3,0,34968170.31
E04,0,Adrian's Farm-House 3,1,0,15343558.7
E05,0,Adrian's Farm-House 3,2,0,28947969.78
E06,0,Adrian's Farm-House 3,3,0,14761665.67
E07,0,Adrian's Farm-House 4,1,0,21076916.95
E08,0,Adrian's Farm-House 4,2,0,8358964.207
E09,0,Adrian's Farm-House 4,3,0,24253177.44
E10 (100x),2,Adrian's Farm-House 2,1,1.715972222,18137062819
E11 (100x),2,Adrian's Farm-House 2,2,1.715972222,22292793486
E12 (100x),2,Adrian's Farm-House 2,3,1.715972222,6805511476
E13 (100x),2,Adrian's Farm-House 3,1,1.715972222,43104035183
E14 (100x),2,Adrian's Farm-House 3,2,1.715972222,20821701397
E15 (100x),2,Adrian's Farm-House 3,3,1.715972222,20205477490
E16 (100x),2,Adrian's Farm-House 4,1,1.715972222,23435879185
E17 (100x),2,Adrian's Farm-House 4,2,1.715972222,17097756841
E18 (100x),2,Adrian's Farm-House 4,3,1.715972222,33134252024
E19 (100x),4,Adrian's Farm-House 2,1,3.8125,292023640.2
E20 (100x),4,Adrian's Farm-House 2,2,3.8125,6796578916
E21 (100x),4,Adrian's Farm-House 2,3,3.8125,1615010761
E22 (100x),4,Adrian's Farm-House 3,1,3.8125,10608458908
E23 (100x),4,Adrian's Farm-House 3,2,3.8125,6337816797
E24 (100x),4,Adrian's Farm-House 3,3,3.8125,8395703952
E25 (100x),4,Adrian's Farm-House 4,1,3.8125,7881850622
E26 (100x),4,Adrian's Farm-House 4,2,3.8125,8680326797
E27 (100x),4,Adrian's Farm-House 4,3,3.8125,1957948784
E28 (100x),6,Adrian's Farm-House 2,1,5.616666667,239262460.9
E29 (100x),6,Adrian's Farm-House 2,2,5.616666667,631939997.2
E30 (100x),6,Adrian's Farm-House 2,3,5.616666667,556084242.2
E31 (100x),6,Adrian's Farm-House 3,1,5.616666667,410141427.1
E32 (100x),6,Adrian's Farm-House 3,2,5.616666667,485440339.8
E33 (100x),6,Adrian's Farm-House 3,3,5.616666667,359992037.3
E34 (100x),6,Adrian's Farm-House 4,1,5.616666667,1537349390
E35 (100x),6,Adrian's Farm-House 4,2,5.616666667,1763202758
E36 (100x),6,Adrian's Farm-House 4,3,5.616666667,769070236
