"Controller","Crate_larvae","duration_d","respiration.CO2_mg_total_min_larvae","n","respiration.CO2_mg_total_min_crate","larvae_survived"
"Adrian's Farm-House 2","C1",0,0,0,8.98170706521553,10800
"Adrian's Farm-House 3","C1",0,0,0,6.95686375360954,10800
"Adrian's Farm-House 4","C1",0,0,0,13.8424685303538,10800
"Adrian's Farm-House 2","C1",1.71597222222222,0.0252772731148381,27,85.8920175313122,10727
"Adrian's Farm-House 3","C1",1.71597222222222,0.344710292296535,110,149.231961359804,10634
"Adrian's Farm-House 4","C1",1.71597222222222,0.512761192972996,111,273.137815945649,10388
"Adrian's Farm-House 2","C1",3.8125,0.801852126756006,111,160.656432478548,10339
"Adrian's Farm-House 3","C1",3.8125,0.415601250762392,50,268.291556603571,10345
"Adrian's Farm-House 4","C1",3.8125,0.0909931835840319,16,224.211971099306,10477
"Adrian's Farm-House 2","C1",5.61666666666667,0.653785443547117,117,115.361114980763,9322
"Adrian's Farm-House 3","C1",5.61666666666667,0.64788454210897,133,58.0917357119183,9695
"Adrian's Farm-House 4","C1",5.61666666666667,0.269812239038231,82,53.034404372398,9921
"Adrian's Farm-House 2","C2",1.71597222222222,0.0369691187805979,31,82.753004699632,10570
"Adrian's Farm-House 3","C2",1.71597222222222,0.482563719090249,129,145.102487157168,10573
"Adrian's Farm-House 4","C2",1.71597222222222,0.41671104297098,83,276.074054902074,10639
"Adrian's Farm-House 2","C2",3.8125,0.44076413098648,60,153.922476314487,9815
"Adrian's Farm-House 3","C2",3.8125,0.245567694905152,31,275.10305787302,10063
"Adrian's Farm-House 4","C2",3.8125,0.238409333425065,50,191.909256758997,10214
"Adrian's Farm-House 2","C2",5.61666666666667,1.15633117701683,115,105.338947179726,10545
"Adrian's Farm-House 3","C2",5.61666666666667,0.831727456696477,131,54.5681400598474,10301
"Adrian's Farm-House 4","C2",5.61666666666667,0.105360254528168,35,50.4052191768414,9565
"Adrian's Farm-House 2","C3",1.71597222222222,0.412837809279564,129,94.0614660715761,10307
"Adrian's Farm-House 3","C3",1.71597222222222,0.239141463448584,75,149.634988891116,10432
"Adrian's Farm-House 4","C3",1.71597222222222,0.294104293831262,58,287.098129810271,10507
"Adrian's Farm-House 2","C3",3.8125,0.619893555315933,94,135.779443332952,10654
"Adrian's Farm-House 3","C3",3.8125,0.664497842268839,74,289.204716749746,10467
"Adrian's Farm-House 4","C3",3.8125,0.313872192894938,55,216.681472856921,9977
"Adrian's Farm-House 2","C3",5.61666666666667,0.716554818298452,108,97.774851719792,10109
"Adrian's Farm-House 3","C3",5.61666666666667,0.491948057843392,88,73.2520385305346,10118
"Adrian's Farm-House 4","C3",5.61666666666667,0.479003987503431,104,56.8224328662932,10316
