"Controller","pH_value","box","duration_d","duration_d.y"
"Adrian's Farm-House 2",4.33,"1",0,0
"Adrian's Farm-House 2",4.23,"2",0,0
"Adrian's Farm-House 2",4.27,"3",0,0
"Adrian's Farm-House 2",4.3,"1",2,1.71597222222222
"Adrian's Farm-House 2",4.34,"2",2,1.71597222222222
"Adrian's Farm-House 2",4.35,"3",2,1.71597222222222
"Adrian's Farm-House 2",4.55,"1",4,3.8125
"Adrian's Farm-House 2",4.5,"2",4,3.8125
"Adrian's Farm-House 2",4.28,"3",4,3.8125
"Adrian's Farm-House 2",7.9,"1",6,5.61666666666667
"Adrian's Farm-House 2",7.96,"2",6,5.61666666666667
"Adrian's Farm-House 2",7.74,"3",6,5.61666666666667
"Adrian's Farm-House 2",8.13,"1",7,6.52
"Adrian's Farm-House 2",8.11,"2",7,6.52
"Adrian's Farm-House 2",8.05,"3",7,6.52
"Adrian's Farm-House 3",4.31,"1",0,0
"Adrian's Farm-House 3",4.34,"2",0,0
"Adrian's Farm-House 3",4.29,"3",0,0
"Adrian's Farm-House 3",4.13,"1",2,1.71597222222222
"Adrian's Farm-House 3",4.13,"2",2,1.71597222222222
"Adrian's Farm-House 3",4.1,"3",2,1.71597222222222
"Adrian's Farm-House 3",8.14,"1",4,3.8125
"Adrian's Farm-House 3",8.38,"2",4,3.8125
"Adrian's Farm-House 3",8.22,"3",4,3.8125
"Adrian's Farm-House 3",7.45,"1",6,5.61666666666667
"Adrian's Farm-House 3",7.56,"2",6,5.61666666666667
"Adrian's Farm-House 3",7.59,"3",6,5.61666666666667
"Adrian's Farm-House 3",7.58,"1",7,6.52
"Adrian's Farm-House 3",7.52,"2",7,6.52
"Adrian's Farm-House 3",7.52,"3",7,6.52
"Adrian's Farm-House 4",4.3,"1",0,0
"Adrian's Farm-House 4",4.34,"2",0,0
"Adrian's Farm-House 4",4.29,"3",0,0
"Adrian's Farm-House 4",4.09,"1",2,1.71597222222222
"Adrian's Farm-House 4",4.63,"2",2,1.71597222222222
"Adrian's Farm-House 4",4.99,"3",2,1.71597222222222
"Adrian's Farm-House 4",8,"1",4,3.8125
"Adrian's Farm-House 4",8.23,"2",4,3.8125
"Adrian's Farm-House 4",8.03,"3",4,3.8125
"Adrian's Farm-House 4",7.88,"1",6,5.61666666666667
"Adrian's Farm-House 4",7.95,"2",6,5.61666666666667
"Adrian's Farm-House 4",7.9,"3",6,5.61666666666667
"Adrian's Farm-House 4",7.7,"1",7,6.52
"Adrian's Farm-House 4",7.85,"2",7,6.52
"Adrian's Farm-House 4",7.74,"3",7,6.52
